Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,ALB,Oil,GCP,CO2,1.5755,1.8144,1.9566,1.6488,1.5352,1.6204,1.9007,1.9163,2.1837,2.2204,2.483,2.9385,4.0817,3.4955,2.4239,2.4549,2.6547,2.944,3.2848,3.7721,1.5719,3.4937,3.1437,3.1291,2.9459,2.7553,2.8689,2.8227,2.5771,4.0964,2.1728,2.2277,1.4164,1.4779,1.6048,1.7734,1.7551,1.4106,1.6234,2.7917,2.8398,3.1254,3.6384,3.8912,3.7593,3.9097,3.5397,3.375,3.7959,3.4148,3.4918,3.7739,3.1547,3.3306,3.8557,3.3379,3.3599,3.8078,3.3306,3.4405,2.7187,2.8631,2.9003,2.9283
Albania,ALB,Total fossil fuels and cement,GCP,CO2,2.0222,2.2785,2.4617,2.0806,2.0147,2.1722,2.5496,2.6775,3.0692,3.2413,3.7395,4.348,5.638,5.2864,4.3415,4.5912,4.9472,5.7173,6.4912,7.584,5.1708,7.3396,7.3076,7.6308,7.8259,7.8815,8.0581,7.4471,7.3292,8.9862,5.5206,4.2902,2.5171,2.338,1.9238,2.0891,2.0175,1.543,1.7547,2.9862,3.0249,3.2207,3.7483,4.3035,4.1767,4.2614,3.9107,3.949,4.397,4.4066,4.7839,5.3147,4.8501,5.2875,5.9997,4.7121,4.632,5.293,4.895,4.8269,4.7111,5.1341,5.1734,5.1443
Algeria,DZA,Cement,GCP,CO2,0.52334,0.53028,0.4322,0.43611,0.38887,0.36727,0.32709,0.35964,0.42902,0.46867,0.45792,0.47609,0.45792,0.4979,0.46519,0.46877,0.68832,0.87407,1.3214,1.8414,2.0217,2.1653,2.1263,2.3183,2.6606,2.9198,3.0825,3.5906,3.415,3.2233,2.9886,2.9694,2.9979,2.9884,2.8207,3.1652,3.0062,3.2713,3.4464,3.4353,3.7894,3.7658,4.0577,4.0321,4.8967,5.6615,6.54,7.0007,7.5834,8.2203,8.2523,8.1872,7.6967,7.2984,7.6679,8.062,9.1051,10.0845,9.7461,10.1004,8.9578,9.555,9.555,9.555
Algeria,DZA,Coal,GCP,CO2,1.2568,0.76531,0.40644,0.25282,0.28213,0.26395,0.27114,0.19045,0.2016,0.45053,0.97096,0.90134,0.64853,0.82074,0.69982,0.79133,0.58619,0.60456,0.57158,0.89402,1.6085,1.9091,1.9749,3.1476,4.0267,3.0778,2.726,2.9678,2.975,2.9862,2.9422,2.6894,2.3779,1.9236,2.2862,1.9346,1.407,1.3813,2.1105,2.1727,1.9602,2.0958,2.6088,2.7883,1.9236,2.3633,2.7004,3.0118,3.0082,1.5938,1.2165,1.0479,1.0369,0.72547,0.54592,0.50197,0,0.8647,1.4509,1.1982,0.54227,1.1066,0.77498,0.68881
Algeria,DZA,Gas,GCP,CO2,,0.4504,0.68839,0.60456,1.1908,1.778,1.8503,1.7909,1.8841,2.4761,0.13557,0.67418,3.1364,3.1474,2.4512,4.4586,6.0634,3.6054,23.8563,8.1671,25.4795,11.1651,7.1704,16.6101,30.5101,27.6998,33.0859,40.1171,38.9723,36.673,38.908,38.428,31.9318,36.0977,37.3859,47.2216,50.5669,39.0069,54.6412,50.9202,38.5343,41.0295,44.6532,44.0266,41.209,61.2108,49.3064,51.0762,51.5506,54.894,53.3678,56.7206,64.1145,65.45,73.8314,78.7687,78.6771,82.3521,88.8846,91.9977,87.0237,96.259,100.6264,92.5455
Algeria,DZA,Gas flaring,GCP,CO2,,,,,,,,,,,6.6575,8.9805,16.8214,24.4352,18.6534,14.9914,20.7583,22.8927,23.5412,19.2836,18.6864,12.9459,9.2589,8.4058,10.981,16.4074,14.4252,12.1168,11.0611,11.7724,8.6947,8.6544,13.8976,12.9412,15.6654,17.3748,17.6527,14.6907,13.2488,12.7326,14.2868,11.4899,9.8775,11.7909,10.8664,10.7045,12.1163,10.479,11.5822,9.2568,10.1512,12.2191,14.287,15.3936,16.3528,17.1646,16.0729,16.5499,16.3912,16.9737,17.5295,15.3329,16.1944,15.3776
Algeria,DZA,Oil,GCP,CO2,4.3712,4.3099,4.134,4.1257,3.7812,4.1793,5.9723,6.0906,6.5356,7.8677,6.837,7.6175,7.2584,9.3762,9.607,11.2912,11.0349,13.8682,13.1648,15.3595,18.6204,18.1566,18.6424,22.0222,22.7681,22.5043,22.7608,25.0911,27.2846,25.1534,23.2041,26.0657,28.6781,27.993,30.4502,27.0806,27.4067,30.0192,33.0896,22.1883,26.8278,28.4583,29.4952,31.9428,32.8184,31.0524,35.233,38.3218,37.3631,44.8913,45.3654,46.9197,48.5393,51.9189,52.8848,55.5902,54.6266,55.3227,56.2325,59.6366,54.1246,57.3428,57.4074,59.9658
Algeria,DZA,Total fossil fuels and cement,GCP,CO2,6.1512,6.0559,5.661,5.4192,5.643,6.5885,8.4209,8.4316,9.0502,11.263,15.059,18.6495,28.3226,38.2774,31.8767,32.0012,39.1311,41.8449,62.4553,45.5456,66.4165,46.342,39.173,52.5039,70.9465,72.6091,76.0804,83.8835,83.708,79.8083,76.7376,78.8068,79.8833,81.944,88.6084,96.7769,100.0394,88.3694,106.5366,91.4491,85.3986,86.8393,90.6924,94.5806,91.7142,110.9925,105.8962,109.8894,111.0874,118.8563,118.3533,125.0946,135.6743,140.7864,151.2828,160.0875,158.4816,165.1739,172.7053,179.9066,168.1779,179.5963,184.5581,178.1328
Andorra,AND,Cement,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Andorra,AND,Coal,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,Gas,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003664,0.003664,0.0036915,0.0036996,0.0072632,0.0078767,0.0082149
Andorra,AND,Oil,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41037,0.4067,0.42502,0.45434,0.46533,0.49098,0.51296,0.52395,0.52395,0.53128,0.53494,0.56059,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47632,0.46166,0.46533,0.46899,0.46533,0.49464,0.48728,0.37736,0.4031,0.41168,0.41566
Andorra,AND,Total fossil fuels and cement,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41037,0.4067,0.42502,0.45434,0.46533,0.49098,0.51296,0.52395,0.52395,0.53128,0.53494,0.56059,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47632,0.46166,0.46533,0.46899,0.46899,0.4983,0.49098,0.38106,0.41037,0.41956,0.42387
Angola,AGO,Cement,GCP,CO2,0.079425,0.07694,0.08333,0.094491,0.10539,0.11993,0.13083,0.1381,0.15231,0.18923,0.22146,0.26139,0.30866,0.3816,0.37405,0.32345,0.14732,0.14564,0.1896,0.18738,0.11323,0.11519,0.1137,0.099175,0.15682,0.15474,0.15277,0.1508,0.42167,0.41639,0.10674,0.10658,0.12278,0.10216,0.097929,0.081483,0.10983,0.12226,0.14194,0.083819,0.081264,0.22148,0.23945,0.27964,0.30001,0.52111,0.53901,0.54206,0.68465,0.6932,0.57842,0.76493,1.1471,1.557,1.9762,2.0305,1.4996,0.99586,1.0385,0.95711,1.054,1.2012,1.2012,1.2012
Angola,AGO,Coal,GCP,CO2,0.12375,0.062794,0.091316,0.021984,0.076944,0.05496,0.087936,0.05496,0.10237,0.091721,0.047583,0.029281,0.007322,0.021984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gas,GCP,CO2,,,,,,,,,,,0.084186,0.084181,0.10983,0.12458,0.1318,0.12458,0.10992,0.13557,0.13557,0.13557,0.14666,0.17221,0.17207,0.19786,0.22,0.21984,0.24549,0.29678,0.30045,0.319,1.0105,1.0838,1.0662,1.0479,0.97155,1.0479,1.0479,1.0662,1.0845,1.0479,1.0845,0.98928,1.1578,1.2164,1.44,1.2494,1.3044,1.5938,1.2714,1.2897,1.3703,1.4033,1.4216,0.76578,0.57891,1.44,1.4949,1.5719,1.6085,2.4292,2.4879,2.4659,2.3143,2.0058
Angola,AGO,Gas flaring,GCP,CO2,,,,,,,,,,,1.4824,1.3872,1.5999,1.8357,1.9112,1.7807,1.0882,2.1728,2.3963,2.3963,2.4162,2.2167,2.193,2.268,2.3173,2.3413,2.3669,2.4146,2.4219,2.442,1.4975,1.5927,1.6854,1.6305,6.8192,8.4755,10.8229,11.3652,12.5242,12.4216,11.1616,10.3962,9.663,9.1513,9.1678,8.8824,7.5448,6.6511,6.5752,6.389,7.6646,6.8842,6.1038,5.9464,6.56,7.8673,8.2988,7.1447,5.2513,4.3712,3.5087,3.386,3.1512,3.4532
Angola,AGO,Oil,GCP,CO2,0.34577,0.31397,1.0045,1.0332,1.0406,1.0113,1.3337,0.79875,1.4149,2.5021,1.7423,1.6434,2.4749,2.5098,2.4494,2.1801,1.9346,1.0736,2.6784,2.77,2.6582,2.7627,2.1564,2.5355,2.2917,1.9602,1.8686,2.9239,1.9053,1.7453,2.4751,2.281,2.29,2.9678,3.4646,3.0118,3.2683,3.3306,2.7627,3.708,3.6677,4.3015,5.0197,6.837,6.1079,4.7339,7.7567,8.8009,10.2189,12.2964,13.3699,14.3446,17.2684,17.4406,16.9753,16.1692,14.1724,13.8829,15.4071,14.2896,9.4824,12.1425,13.5836,14.1203
Angola,AGO,Total fossil fuels and cement,GCP,CO2,0.54895,0.45371,1.1791,1.1497,1.2229,1.1862,1.5525,0.99181,1.6695,2.7831,3.5779,3.4054,4.5005,4.8737,4.8664,4.4088,3.28,3.5275,5.3998,5.4892,5.3344,5.2668,4.6352,5.1005,4.9858,4.6761,4.6338,5.786,5.0493,4.9227,5.0899,5.0641,5.1644,5.7484,11.3532,12.6167,15.249,15.8842,16.5133,17.2613,15.9951,15.9085,16.08,17.4844,17.0157,15.3868,17.1448,17.5879,18.7502,20.6683,22.9833,23.397,25.941,25.7097,26.0904,27.5069,25.4656,23.5953,23.3054,22.0471,16.533,19.1956,20.2502,20.7805
Antigua and Barbuda,ATG,Cement,GCP,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Antigua and Barbuda,ATG,Oil,GCP,CO2,0.03664,0.047632,0.10259,0.084272,0.0916,0.15022,0.34808,0.56426,0.98928,1.2568,0.46166,0.42502,0.37373,0.32976,0.42869,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.24182,0.24915,0.24915,0.25648,0.26747,0.27114,0.28946,0.31144,0.32243,0.34442,0.35541,0.37006,0.4067,0.42869,0.45067,0.47998,0.51662,0.53494,0.53861,0.55693,0.5496,0.54594,0.55693,0.55693,0.56792,0.58258,0.59723,0.60456,0.61555,0.6412,0.61922,0.63754,0.61811,0.64483
Antigua and Barbuda,ATG,Total fossil fuels and cement,GCP,CO2,0.03664,0.047632,0.10259,0.084272,0.0916,0.15022,0.34808,0.56426,0.98928,1.2568,0.46166,0.42502,0.37373,0.32976,0.42869,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.24182,0.24915,0.24915,0.25648,0.26747,0.27114,0.28946,0.31144,0.32243,0.34442,0.35541,0.37006,0.4067,0.42869,0.45067,0.47998,0.51662,0.53494,0.53861,0.55693,0.5496,0.54594,0.55693,0.55693,0.56792,0.58258,0.59723,0.60456,0.61555,0.6412,0.61922,0.63754,0.61811,0.64483
Argentina,ARG,Cement,GCP,CO2,1.3047,1.4355,1.4464,1.2538,1.4391,1.6318,1.7227,1.7556,2.0643,2.1479,2.3441,2.7358,2.6986,2.5701,2.6749,2.7142,2.8414,2.9869,3.1476,3.3269,3.5616,3.3227,2.8147,2.8175,2.6177,2.3249,2.7892,3.1692,3.0466,2.2529,1.822,2.196,2.495,2.761,3.05,2.621,2.422,3.169,3.283,3.29,2.771,2.481,1.729,2.28,2.701,3.241,3.764,3.998,3.99,3.81,4.178,4.586,4.184,4.581,4.336,4.571,4.029,4.3621,4.3687,4.1409,3.5085,4.6707,5.0625,4.8527
Argentina,ARG,Coal,GCP,CO2,3.9058,3.5394,2.0079,2.3047,2.5573,2.6014,2.5868,2.9389,2.3669,2.5904,3.2866,2.9275,2.8579,2.8799,3.3672,3.5944,3.2391,2.7039,3.8325,3.6017,2.8652,2.9568,2.6602,2.1911,2.1472,2.7735,3.3929,3.7776,4.0232,4.144,3.14,2.9385,3.1071,2.5282,3.5613,3.7409,3.1143,2.8066,3.1547,2.7883,2.3597,2.0078,1.5792,2.4805,2.5318,3.6677,3.968,3.7593,3.9754,3.3049,4.0817,4.8255,5.0783,4.8401,5.5364,5.4667,4.1917,4.2795,4.3564,2.1434,3.2243,4.5104,4.7797,4.1064
Argentina,ARG,Gas,GCP,CO2,2.3633,4.0304,5.1076,5.8294,6.4665,7.2474,7.8483,8.2083,9.1417,9.105,10.2812,11.0213,12.4686,14.187,14.9235,15.7222,16.4666,16.9051,16.4257,18.0159,19.5658,20.4854,23.2489,26.2636,27.3014,28.809,30.9645,36.6986,42.2325,44.6092,43.2132,47.2839,48.3025,40.8072,42.677,53.194,57.5416,61.5039,61.6138,67.6191,69.4382,64.8071,62.6178,69.0682,82.9127,81.9673,83.8672,87.1776,90.1197,87.9928,86.9284,92.5856,95.3812,91.3381,92.8439,93.5346,96.3028,96.4419,96.1231,95.6065,89.0828,93.0729,92.9083,91.0514
Argentina,ARG,Gas flaring,GCP,CO2,,,,,,,2.345,2.7959,2.8762,2.8323,2.8103,2.8433,2.7443,3.1291,3.0631,3.9022,5.2837,5.4079,6.2508,6.5989,6.1555,5.1443,5.5951,5.1956,7.1487,6.1883,4.8035,4.7779,5.8699,6.2618,4.7852,4.1037,3.9974,4.7524,1.9781,2.8868,2.1507,2.2055,1.6929,1.8834,1.4658,1.5065,1.5096,1.2974,1.0906,0.9128,0.79905,0.69459,0.5994,0.69331,0.61245,0.87162,1.1308,1.2913,1.3883,1.2175,0.84123,0.95982,1.3588,1.7706,1.9866,2.3248,2.195,2.0538
Argentina,ARG,Oil,GCP,CO2,41.1907,42.1213,45.0782,40.6448,45.2071,47.3242,48.57,49.7773,52.5601,60.5732,63.9258,69.3192,69.2972,71.2098,71.4517,68.9125,71.8683,72.7021,72.8989,79.0728,76.508,70.0593,69.0322,68.6744,67.2367,60.4355,62.2001,66.454,66.2325,59.7525,59.1883,61.2328,63.6327,67.1522,67.2031,62.8339,65.9209,66.868,69.5757,72.7231,67.434,64.3344,57.4955,59.3552,67.8133,71.7997,81.9107,77.9516,88.6578,82.3797,90.1454,86.9064,85.5874,87.4873,84.292,86.954,84.5558,80.8556,74.3924,74.8467,67.3187,86.529,99.1351,93.7416
Argentina,ARG,Total fossil fuels and cement,GCP,CO2,48.7645,51.1267,53.6401,50.0327,55.67,58.8048,63.0727,65.476,69.0092,77.2489,82.648,88.8471,90.0666,93.9759,95.4804,94.8455,99.6992,100.7059,102.5556,110.6161,108.6561,101.9685,103.3511,105.142,106.4517,100.5312,104.1501,114.8772,121.4047,117.0204,112.1487,117.7549,121.5347,118.0011,118.4694,125.2766,131.1495,136.5531,139.3201,148.3039,143.4687,135.1368,124.931,134.4812,157.0494,161.5885,174.3089,173.581,187.3424,178.1807,185.9459,189.7751,191.3617,189.5377,188.3965,191.7438,189.9204,186.8989,180.5993,178.5081,165.1209,191.1078,204.0807,195.806
Armenia,ARM,Cement,GCP,CO2,0.089582,0.10022,0.1131,0.12054,0.12846,0.14339,0.15866,0.16833,0.17403,0.17881,0.18991,0.20288,0.21387,0.22766,0.24272,0.26083,0.26585,0.2722,0.27227,0.26408,0.26865,0.27547,0.27012,0.28217,0.28885,0.29247,0.3041,0.31106,0.31763,0.32158,0.38016,0.39608,0.099458,0.055489,0.031966,0.068758,0.078408,0.16767,0.20929,0.17129,0.13885,0.1435,0.21136,0.22025,0.29833,0.33111,0.33821,0.40685,0.41221,0.24133,0.2883,0.2643,0.2779,0.25884,0.24356,0.24068,0.1541,0.20547,0.31513,0.3411,0.41267,0.49232,0.49232,0.49232
Armenia,ARM,Coal,GCP,CO2,0.89799,0.84108,0.79405,0.80182,0.80649,0.81881,0.83368,0.81802,0.78892,0.78659,0.84447,0.83868,0.85345,0.84648,0.83191,0.84828,0.86724,0.87428,0.85282,0.85418,0.90661,0.79466,0.80516,0.79401,0.78675,0.91919,0.98888,0.98631,0.86485,0.81558,0.69449,0.60422,0.37373,0.0073386,0.095264,0.007328,0.014656,0.014656,0.01464,0.007328,0,0,0.047574,0.07328,0,0,0.003664,0.0073334,0.007328,0,0.003664,0.007328,0.007328,0.003664,0.0036616,0.0036615,0.0036666,0.0036664,0.0036617,0.010992,0.029312,0.04399,0.040115,0.040706
Armenia,ARM,Gas,GCP,CO2,0.40498,0.50001,0.59006,0.70295,0.834,0.94721,1.0338,1.1014,1.1629,1.2231,1.141,1.2562,1.3045,1.3535,1.4066,1.5191,1.6631,1.7693,1.8206,1.9379,2.0374,2.1122,2.2345,2.3827,2.5711,2.8948,2.6524,3.1753,4.2347,4.6158,4.1987,3.4784,3.4771,1.5081,1.6158,2.6161,2.0408,2.6784,2.7889,2.2753,2.5648,2.6124,2.0018,2.2277,2.4732,3.0631,3.14,3.762,4.122,3.1694,2.9532,3.7556,4.5653,4.4188,4.4928,4.4268,4.2386,4.4621,4.6759,4.8878,4.8988,5.3558,5.0669,5.5097
Armenia,ARM,Gas flaring,GCP,CO2,0,0,0,0,0,0,0,0,0,0,0,0.094681,0.089398,0.10435,0.1123,0.12346,0.13649,0.14619,0.15413,0.08361,0.084481,0.081171,0.080751,0.078922,0.077551,0.084806,0.074209,0.068062,0.14969,0.14596,0.096559,0.089827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Oil,GCP,CO2,1.7652,1.8189,1.9297,2.0548,2.1491,2.2488,2.3669,2.5111,2.6075,2.7451,3.0124,3.1229,3.3487,3.5319,3.7106,3.8823,3.9586,4.0666,4.2785,4.2994,4.4333,4.3327,4.3502,4.3189,4.2067,4.355,4.1184,3.6247,3.7275,3.5155,3.6293,2.8113,1.7734,0.93934,0.94165,0.67051,0.3664,0.39205,0.40626,0.58624,0.78776,0.77677,0.81608,0.93432,0.91966,0.98195,0.91966,0.92401,1.0332,0.95264,1.0076,0.94165,0.89768,0.85371,0.86413,0.79821,0.80665,0.86895,0.82754,1.0442,1.4546,1.525,1.5652,1.5656
Armenia,ARM,Total fossil fuels and cement,GCP,CO2,3.1577,3.2602,3.427,3.6801,3.918,4.1582,4.3931,4.5988,4.7334,4.9336,5.1878,5.5153,5.8099,6.0639,6.3041,6.634,6.8913,7.1286,7.3784,7.4393,7.7305,7.5961,7.7407,7.8566,7.931,8.5462,8.138,8.1655,9.2944,9.4144,8.9992,7.3798,5.7237,2.5102,2.6847,3.3627,2.5003,3.2528,3.4191,3.0402,3.4914,3.5327,3.0768,3.4556,3.6912,4.3762,4.4016,5.1002,5.5748,4.3633,4.2527,4.9689,5.7483,5.535,5.6041,5.4693,5.203,5.5402,5.8223,6.2841,6.7954,7.4171,7.1646,7.6083
Australia,AUS,Cement,GCP,CO2,1.381,1.4138,1.4501,1.5409,1.7916,1.8789,1.8171,1.8898,1.9407,2.1297,2.2278,2.314,2.4364,2.5913,2.5684,2.473,2.4936,2.4744,2.4587,2.5807,2.6518,2.9544,2.8229,2.3772,2.6831,2.8912,2.9079,2.8778,3.136,3.3795,3.4629,3.183,2.9234,3.0047,3.4843,3.3577,3.2436,3.1846,3.4754,3.52,3.6209,3.5409,3.4877,3.584,3.5546,3.6641,3.8881,3.9715,3.8629,3.829,3.5486,3.4955,3.5182,3.2944,3.1376,3.0762,2.9309,3.0191,2.9418,3.0395,2.8202,2.9005,2.8182,2.8182
