iso3,country,target_year,target_abs_excl_lulucf_mtco2e,target_type,base_year,reduction_pct,source
USA,United States,2030,,% below base year,2005,51,<paste link>
GBR,United Kingdom,2030,,% below base year,1990,68,<link>
EU27,European Union (27),2030,,% below base year,1990,55,<link>
JPN,Japan,2030,,% below base year,2013,46,<link>
CAN,Canada,2030,,% below base year,2005,40,<link>
